iter	Passed	Remaining
0	267	267305
1	351	175570
2	454	151110
3	560	139512
4	644	128303
5	742	123026
6	831	117963
7	939	116508
8	1008	111033
9	1098	108743
10	1195	107460
11	1278	105291
12	1347	102297
13	1435	101094
14	1525	100161
15	1583	97400
16	1662	96121
17	1735	94661
18	1819	93930
19	1878	92045
20	1952	91042
21	2004	89101
22	2105	89419
23	2208	89807
24	2291	89371
25	2330	87288
26	2417	87105
27	2449	85032
28	2550	85396
29	2645	85538
30	2737	85571
31	2774	83927
32	2853	83627
33	2885	81972
34	2960	81635
35	2985	79942
36	3069	79891
37	3111	78762
38	3167	78055
39	3204	76918
40	3292	77014
41	3374	76974
42	3458	76975
43	3483	75689
44	3562	75614
45	3655	75812
46	3741	75860
47	3819	75743
48	3878	75279
49	3933	74727
50	4012	74664
51	4037	73601
52	4118	73587
53	4204	73652
54	4250	73030
55	4324	72891
56	4423	73189
57	4481	72784
58	4507	71884
59	4542	71170
60	4620	71119
61	4709	71253
62	4797	71359
63	4823	70550
64	4912	70665
65	4958	70165
66	5036	70137
67	5124	70233
68	5210	70302
69	5301	70432
70	5389	70518
71	5488	70745
72	5585	70934
73	5671	70972
74	5749	70905
75	5839	70999
76	5887	70574
77	5962	70476
78	6034	70351
79	6124	70435
80	6211	70478
81	6236	69821
82	6325	69884
83	6426	70077
84	6503	70010
85	6587	70013
86	6684	70145
87	6789	70361
88	6871	70336
89	6964	70417
90	7060	70528
91	7085	69935
92	7174	69966
93	7268	70052
94	7370	70218
95	7466	70309
96	7569	70469
97	7653	70443
98	7748	70521
99	7834	70506
100	7922	70515
101	8010	70522
102	8104	70579
103	8199	70641
104	8301	70764
105	8355	70473
106	8382	69957
107	8489	70118
108	8567	70034
109	8652	70007
110	8730	69925
111	8827	69992
112	8924	70050
113	9013	70053
114	9110	70112
115	9210	70191
116	9311	70276
117	9390	70191
118	9480	70185
119	9566	70156
120	9661	70184
121	9766	70289
122	9862	70318
123	9946	70264
124	10039	70276
125	10131	70274
126	10227	70306
127	10314	70267
128	10418	70343
129	10506	70314
130	10586	70225
131	10671	70171
132	10750	70079
133	10846	70100
134	10930	70034
135	11008	69936
136	11104	69951
137	11194	69925
138	11282	69885
139	11337	69646
140	11434	69661
141	11532	69684
142	11633	69722
143	11724	69696
144	11827	69740
145	11918	69715
146	12010	69694
147	12119	69770
148	12217	69780
149	12316	69795
150	12400	69719
151	12471	69578
152	12557	69518
153	12654	69514
154	12750	69510
155	12827	69401
156	12905	69296
157	13009	69329
158	13100	69291
159	13201	69308
160	13294	69278
161	13388	69256
162	13480	69219
163	13564	69143
164	13646	69060
165	13730	68983
166	13805	68859
167	13897	68825
168	13931	68501
169	14015	68430
170	14120	68454
171	14206	68387
172	14303	68377
